City,Station,Date,PM2.5,PM10,SO2,CO,OZONE,NO2,NH3
Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",20-11-2023 12:00:00,36,64,4,17,20,21,3
Tumakuru,"Thimmalapura, Tumakuru - KSPCB",20-11-2023 12:00:00,63,87,5,26,20,NA,NA
Udupi,"Brahmagiri, Udupi - KSPCB",20-11-2023 12:00:00,,81,9,33,73,,
Vijayapura,"Ibrahimpur, Vijayapura - KSPCB",20-11-2023 12:00:00,25,42,8,28,28,22,2
Yadgir,"Collector Office, Yadgir - KSPCB",20-11-2023 12:00:00,53,54,20,17,19,NA,NA
Eloor,"Udyogamandal, Eloor - Kerala PCB",20-11-2023 12:00:00,59,72,7,64,21,9,NA
Kannur,"Thavakkara, Kannur - Kerala PCB",20-11-2023 12:00:00,40,56,NA,36,16,6,1
Kochi,"Vyttila, Kochi - Kerala PCB",20-11-2023 12:00:00,68,94,6,50,,2,2
Kollam,"Polayathode, Kollam - Kerala PCB",20-11-2023 12:00:00,50,61,6,34,25,8,1
Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",20-11-2023 12:00:00,27,34,9,25,15,13,2
Thrissur,"Corporation Ground, Thrissur - Kerala PCB",20-11-2023 12:00:00,51,59,6,16,39,10,1
Bhopal,"Idgah Hills, Bhopal - MPPCB",20-11-2023 12:00:00,285,140,21,44,75,33,6
Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",20-11-2023 12:00:00,287,158,11,27,26,57,3
Bhopal,"T T Nagar, Bhopal - MPPCB",20-11-2023 12:00:00,259,168,30,52,67,53,3
Damoh,"Shrivastav Colony, Damoh - MPPCB",20-11-2023 12:00:00,38,63,,22,,7,
Dewas,"Bhopal Chauraha, Dewas - MPPCB",20-11-2023 12:00:00,211,132,43,34,37,12,3
Gwalior,"City Center, Gwalior - MPPCB",20-11-2023 12:00:00,172,180,28,33,38,4,2
Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",20-11-2023 12:00:00,141,147,23,86,161,82,23
Gwalior,"Maharaj Bada, Gwalior - MPPCB",20-11-2023 12:00:00,211,269,15,40,39,54,2
